Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,51.665450202375425,3.006
TC01,100,STANDARD,100,51.867825625373236,3.007
TC01,100,STANDARD,100,52.0569305288302,3.008
TC01,100,STANDARD,100,52.322340919647004,3.009
TC01,100,STANDARD,100,52.541304492070864,3.01
TC01,100,STANDARD,100,52.77022095415035,3.011
TC01,100,STANDARD,100,53.01904319554111,3.012
TC01,100,STANDARD,100,53.284453586357905,3.013
TC01,100,STANDARD,100,53.516687678322604,3.014
TC01,100,STANDARD,100,53.99110875190764,3.016
TC01,100,STANDARD,100,54.263154402494855,3.017
TC01,100,STANDARD,100,54.67122287837569,3.019
TC01,100,STANDARD,100,54.89682171056997,3.02
TC01,100,STANDARD,100,55.13569106230509,3.021
TC01,100,STANDARD,100,55.371242784155,3.022
TC01,100,STANDARD,100,55.58025346692323,3.023
TC01,100,STANDARD,100,55.75277022095415,3.024
TC01,100,STANDARD,100,56.01154535200053,3.025
TC01,100,STANDARD,100,56.25704996350607,3.026
TC01,100,STANDARD,100,56.714882887665055,3.028
TC01,100,STANDARD,100,56.91394068077765,3.029
TC01,100,STANDARD,100,57.149492402627565,3.03
TC01,100,STANDARD,100,57.33859730608453,3.031
TC01,100,STANDARD,100,57.55756087850839,3.032
TC01,100,STANDARD,100,57.813018379669565,3.033
TC01,100,STANDARD,100,58.0585229911751,3.034
TC01,100,STANDARD,100,58.43009753831863,3.036
TC01,100,STANDARD,100,58.70877844867626,3.037
TC01,100,STANDARD,100,58.901200982018445,3.038
TC01,100,STANDARD,100,59.14338796363877,3.039
TC01,100,STANDARD,100,59.36235153606264,3.04
TC01,100,STANDARD,100,59.59126799814213,3.041
TC01,100,STANDARD,100,59.777055271713884,3.042
TC01,100,STANDARD,100,60.12208877977573,3.044
TC01,100,STANDARD,100,60.304558423462275,3.045
TC01,100,STANDARD,100,60.68276823037622,3.047
TC01,100,STANDARD,100,60.89841417291487,3.048
TC01,100,STANDARD,100,61.12069537522394,3.049
TC01,100,STANDARD,100,61.33634131776259,3.05
TC01,100,STANDARD,100,61.5387167407604,3.051
TC01,100,STANDARD,100,61.75768031318426,3.052
TC01,100,STANDARD,100,62.08944330170526,3.054
